type,name,namespace,threat_type,description,removed_at,malware,legitimate_package
gem,aws-graph,,false_positive,"Possible package confusion of [aws]

Explanation: The package name 'aws-graph' is a minor modification of 'aws', which could confuse users, making it an adversarial name. It has a distinct purpose related to AWS security, differentiating it from the general AWS library. The maintainers are known in the community, which reduces suspicion, but the name still raises concerns due to its similarity to 'aws'.",,,aws
gem,google-cloud-talent-v4,,false_positive,Possible package confusion of google-cloud-talent-v4beta1,,,google-cloud-talent-v4beta1
gem,jekyll-theme-minimalist,,stealthy package confusion,Possible package confusion of jekyll-theme-minimalistic,,,jekyll-theme-minimalistic
gem,json_schema,,false_positive,Possible package confusion of json-schema,,,json-schema
gem,sbuild,,false_positive,"Possible `1-step D-L dist` package confusion of [build]

Explanation: The package name 'sbuild' is very similar to 'build', with only an additional 's' at the beginning, which could easily confuse users. The description of 'sbuild' is also quite generic and does not clearly differentiate its purpose from 'build'. The maintainer 'cantenesse' is not a widely recognized name in the Ruby community, adding to the suspicion. There is no indication that 'sbuild' is a fork or has a distinct purpose from 'build'.",,,build
gem,tushare,,false_positive,"Possible `1-step D-L dist` package confusion of [yashare]

Explanation: The package names 'tushare' and 'yashare' have an edit distance of 2, making them very similar in appearance, likely enough to cause confusion among users. Analyzing the name in isolation suggests an adversarial or deceptive intent (is_adversarial_name is true), even though the package maintainer information appears legitimate and the underlying purposes are distinct (Tushare-Ruby focuses on crawling historical China stocks data while Yashare deals with Yandex Share buttons). There is no indication that 'tushare' is a fork or for testing purposes. However, the close similarity in naming along with the intentional mimicry in spelling creates a suspicious situation (has_suspicious_intent is true), so we do not mark it as an obvious non-typosquat. Risk level: High).",,,yashare
gem,webspec,,false_positive,"Possible `1-step D-L dist` package confusion of [respec]

Explanation: The package name 'webspec' is very similar to 'respec' with a low edit distance of 2 and uses a name that could deceive users by mimicking the legitimate package. Despite having maintainers known in the community, the similarity in name and the closely related description ('Report rspec results to webspec' vs. 'Rerun failing RSpec examples easily.') suggest adversarial intent rather than an obvious fork. There is no evidence of a distinct purpose or obvious test package intent, and the naming does not include a username that would indicate a fork. Based on just the name similarity and metadata, this package appears to be a typosquat with suspicious intent. Risk level: High).",,,respec
gem,wepay-rails,,false_positive,Possible package confusion of importmap-rails,,,importmap-rails
gem,xf,,false_positive,"Possible package confusion of [u2f]

Explanation: The package name 'xf' is similar to 'u2f' but does not have a clear indication of being a fork. The names are close enough to potentially deceive users, making it an adversarial name. The purposes of the packages are distinct, with 'xf' focusing on Enumerable collections and 'u2f' on U2F device handling. The maintainers are known in the community, which adds legitimacy, but the similarity in names raises suspicion.",,,u2f
golang,github.com/drelf2020/typego,,false_positive,Possible package confusion of github.com/drelf2018/typego,,,github.com/drelf2018/typego
golang,github.com/ipld/go-car,,false_positive,Possible package confusion of github.com/ipfs/go-car,,,github.com/ipfs/go-car
golang,github.com/jaerk/kernal,,false_positive,"Possible `scope confusion` package confusion of [github.com/jacrk/kernal]

Explanation: The package names 'github.com/jaerk/kernal' and 'github.com/jacrk/kernal' are very similar, differing by only one character, which is a common pattern in typosquatting. There is no description provided for either package, making it difficult to determine distinct purposes or intentions. The maintainer 'jaerk' does not appear to be a known entity in the Golang community, increasing the suspicion. The lack of additional context or namespace information further supports the potential for typosquatting.",,,github.com/jacrk/kernal
golang,github.com/khulnasoft-labs/fastdialer,,false_positive,Possible package confusion of github.com/khulnasoft-lab/fastdialer,,,github.com/khulnasoft-lab/fastdialer
golang,github.com/kotyi/kernal,,false_positive,"Possible package confusion of [github.com/kotdy/kernal]

Explanation: The package names 'github.com/kotyi/kernal' and 'github.com/kotdy/kernal' differ by a single character in the namespace, which is a common pattern for typosquatting. Both packages lack descriptions, making it difficult to determine distinct purposes or intentions. The maintainer 'kotyi' does not provide enough information to confirm legitimacy. Therefore, it appears suspicious.",,,github.com/kotdy/kernal
golang,github.com/ynowk/kernal,,stealthy package confusion,Possible package confusion of github.com/ynawk/kernal,,,github.com/ynawk/kernal
maven,api,io.keploy,false_positive,"Possible `1-step D-L dist` package confusion of [io.bdeploy:api]

Explanation: The package 'io.keploy:api' has no description and no known maintainers, making it difficult to determine its purpose or legitimacy. The namespace 'io.keploy' does not clearly indicate a known organization or user, and the lack of description makes it suspicious. The names 'keploy' and 'bdeploy' are similar enough to potentially confuse users, suggesting a possible package confusion.",,,io.bdeploy:api
maven,dux4j,dev.engineeringmadness,false_positive,Possible package confusion of com.sun.xml.bind:jaxb-impl,,,com.sun.xml.bind
maven,elasticsearch,org.elasticsearch,false_positive,"Possible package confusion of [org.testcontainers:elasticsearch]

Explanation: Both packages share the same artifact name ('elasticsearch') but belong to different namespaces. Although the edit distance (12) is somewhat high, the difference is solely in the namespace. The org.elasticsearch namespace is a well‐known term and using it in a package whose description ('Elasticsearch subproject :server') starkly differs from the legitimate container management testing purpose of org.testcontainers:elasticsearch can easily confuse users. Furthermore, the absence of any known maintainers in the suspicious package increases its likelihood of being an adversarial attempt. In this case, the similarity in the artifact id combined with the namespace confusion leads to adversarial naming with potential malicious intent. Risk level: High).",,,org.testcontainers:elasticsearch
maven,fontbox,com.github.lafa.pdfbox,false_positive,Possible package confusion of org.apache.pdfbox:fontbox,,,org.apache.pdfbox
